Domains,Malicious
101nitro.com,1
10minutemail.com,0
16personalities.com,0
1happybirthday.com,0
1month-premium.com,1
1news.co.nz,0
1nitro.club,1
2012.twitter.com,0
20minutos.es,0
2discord.ru,1
2k.com,0
2worlds.netmarble.com,0
3d-creator.sonymobile.com,0
3dclassics.sega.com,0
3month-get.com,1
3month-give.com,1
3p.nexon.com,0
4kids.org,0
4shared.com,0
50waystogetajob.com,0
60th.sega.com,0
7-eleven.com,0
7a1fe62a-discorcd-app.com,1
7cups.com,0
7dsgc.netmarble.com,0
7eleven.com.au,0
7eleven.com.my,0
7k2.netmarble.com,0
7knights4s.netmarble.com,0
7thdragon.sega.com,0
99u.adobe.com,0
a.upload.youtube.com,0
a3global.netmarble.com,0
aabeta.phxwolf.com,1
abc.es,0
abc.net.au,0
abc.net.au,0
abcnews.go.com,0
abetterlife.quora.com,0
about-hypesquad.gq,1
about.canva.com,0
about.com,0
about.facebook.com,0
about.gitlab.com,0
about.instagram.com,0
about.linkedin.com,0
about.me,0
about.medium.com,0
about.twitter.com,0
about.yahoo.com,0
aboutads.info,0
aboutus.ea.com,0
abril.com.br,0
academia.edu,0
academic.research.microsoft.com,0
academy-beta.com,1
"academy.oracle.com",0
academyy.repl.co,1
acapcommunity.org,0
acceptingpayments.quora.com,0
access-events-discord.com,1
access-form-hypesquad.com,1
access-formhypesquadevents.com,1
access-formshypesquad.com,1
access-hypesquad-events.com,1
access-the-hypesquad.com,1
access-to-discord.com,1
"access.redhat.com",0
accessdata.com,0
accessmars.withgoogle.com,0
accessories.dell.com,0
account-formulary.gq,1
account.bandainamcoent.com,0
account.blizzard.com,0
account.foxsports.com,0
account.live.com,0
account.microsoft.com,0
account.ncsoft.com,0
account.riotgames.com,0
"account.samsung.com",0
account.sonymobile.com,0
account.ubisoft.com,0
account.xbox.com,0
account.yahoo.com,0
accountkiller.com,0
accounts.google.com,0
accounts.youtube.com,0
accounts.zynga.com,0
accuweather.com	,0
ace.sonymusic.co.jp,0
acer-group.com,0
acer.com,0
acerid.com,0
acess-discord-hype.com,1
acess-for-hypesquad.com,1
acess-for-hypeteams.com,1
acess-form-hypesquad.com,1
acess-formhypesquadevents.com,1
acess-hype-events.com,1
acess-hype.com,1
acess-hypesquad-events.com,1
acess-hypesquad-formulary.ga,1
acess-hypesquad-testers.com,1
acess-hypesquad.com,1
acess-hypesquadevents.com,1
acess-the-hypesquad.com,1
acess-the-new-hypesquad.com,1
acessbeta.com,1
acesshype.com,1
acphub.disney.com,0
acrobat.adobe.com,0
activate-gift-1month.gq,1
activate.ea.com,0
activate.foxsports.com,0
activision.com,0
ad.sonymusic.co.jp,0
added-hypesquad.com,1
addons.mozilla.org,0
addthis.com,0
addtoany.com,0
adidas.co.id,0
adidas.com,0
admanager.yahoo.com,0
admin.hardvardpilgrim.com,0
admin.henshin-k.bandai.co.jp,0
admissions.berkeley.edu,0
admissions.yale.edu,0
adobe.com,0
ads-apply-hype.com,1
ads-discord.com,1
ads-hypesquad-team.com,1
ads-hypesquad.com,1
ads-hypeteam.com,1
ads.harvard.edu,0
ads.netflix.com,0
ads.twitter.com,0
ads.w3schools.com,0
ads.yahoo.com,0
ads.youtube.com,0
adssettings.google.com,0
adventure.nationalgeographic.com,0
adventureblog.nationalgeographic.com,0
advertise.bingads.microsoft.com,0
advertising.apple.com,0
advertising.foxsports.com,0
advertising.twitter.com,0
advertising.yahoo.com,0
adweek.com,0
adwords.google.com,0
aeroapp.bungie.net,0
aeroastro.mit.edu,0
affiliates.yahoo.com,0
afp.google.com,0
africanscholars.yale.edu,0
afternic.com,0
agame16.netmarble.net,0
agame4.netmarble.net,0
ages.sega.jp,0
ahmia.fi,0
ahypesquading.repl.co,1
ai.berkeley.edu,0
ai.facebook.com,0
ai.mit.edu,0
ai100.stanford.edu,0
ai2.appinventor.mit.edu,0
aion.patcher.gtm.ncsoft.com,0
airbnb.com,0
airdrop-discord-nitro.com,1
airdrop-discord-nitro.xyz,1
airdrop-discord.com,1
airdrop-discord.online,1
airdrop-discord.ru,1
airdrop-nitro.com,1
airdropdiscord.com,1
akamai.net,0
akamaid.net,1
akamaihd.net,0
akamaized.net,0
alertful.com,0
alexa.com,0
alfagift.id,0
alfamart.co.id,0
alfamidiku.com,0
algorithm-visualizer.org,0
alibaba.com,0
alibabagroup.com,0
alicdn.com,0
alice.ea.com,0
aliexpress.com,0
alison.com,0
all-free-download.com,0
all-nitro.xyz,1
allaboutcookies.org,0
allaboutfrogs.org/froglnd.shtml,0
allitebooks.com,0
allyoucanread.com,0
alpha-account.netmarble.net,0
alpha-hounds.netmarble.net,0
alpha-mpopup.netmarble.net,0
alpha.bungie.net,0
alpha.whatsapp.com,0
alphalupi.bungie.net,0
alternativeto.net,0
alum.mit.edu,0
alumni.yale.edu,0
am-show.sega.jp,0
am.sega.jp,0
amazon.ca,0
amazon.co.jp,0
amazon.co.uk,0
amazon.com,0
amazon.de,0
amazon.es,0
